epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9195,1.36462,14.5864,1.19222,0.00034,0.25,0.00075,0.00028,1.17985,10.1712,0.97359,1.667e-05,1.667e-05,1.667e-05
2,29.0935,1.30066,11.4251,1.15184,0.00029,0.25,0.00049,0.0002,1.17043,10.1645,0.97491,4.95149e-05,4.95149e-05,4.95149e-05
3,30.1405,1.54857,14.0857,1.01855,0.00027,0.25,0.00065,0.00027,1.15988,10.1571,0.97518,8.16997e-05,8.16997e-05,8.16997e-05
4,31.2826,1.47901,18.7519,1.07567,0.00026,0.28125,0.00075,0.00028,0.84121,9.77462,0.89184,0.000113224,0.000113224,0.000113224
5,32.5148,1.2815,12.6865,1.23918,0.00028,0.3125,0.00418,0.00138,0.6605,9.57588,0.87891,0.000144089,0.000144089,0.000144089
6,33.7805,0.98562,11.7454,1.03175,0.00031,0.34375,0.00547,0.00354,0.6617,9.57811,0.86567,0.000174293,0.000174293,0.000174293
7,35.0445,0.99245,12.4242,0.93498,0.00039,0.4375,0.00382,0.00201,0.71805,9.57736,0.86442,0.000203837,0.000203837,0.000203837
8,36.2534,0.84079,9.85733,0.96917,0.00033,0.375,0.00379,0.00224,0.75795,9.802,0.87091,0.000232722,0.000232722,0.000232722
9,37.4488,1.00006,11.0467,1.08929,0.00758,0.38663,0.00591,0.00378,0.70152,9.76804,0.87243,0.000260946,0.000260946,0.000260946
10,38.6557,0.70306,11.2413,0.86589,0.0045,0.41788,0.00393,0.0026,0.64357,9.57681,0.86931,0.000288509,0.000288509,0.000288509
11,39.8607,0.64764,12.0236,0.79323,0.00039,0.4375,0.00189,0.00059,0.64498,9.59448,0.89061,0.000315413,0.000315413,0.000315413
12,41.0778,0.84912,10.4383,0.8801,0.00761,0.42951,0.00758,0.00282,0.72685,9.56799,0.90385,0.000341657,0.000341657,0.000341657
13,42.2913,0.89789,9.66173,0.93169,0.01327,0.45276,0.02263,0.0119,0.76756,9.58348,0.90315,0.00036724,0.00036724,0.00036724
14,43.5027,1.12638,12.5138,0.92765,0.01629,0.40988,0.02099,0.00972,0.86699,9.66186,0.9165,0.000392163,0.000392163,0.000392163
15,44.6715,0.89156,11.2743,0.92356,0.00519,0.38663,0.00871,0.00355,0.79858,9.59485,0.89342,0.000416427,0.000416427,0.000416427
16,45.84,0.86039,14.6541,1.05749,0.00031,0.34375,0.0054,0.00343,0.75557,9.50053,0.87106,0.00044003,0.00044003,0.00044003
17,47.0413,0.88163,9.99327,0.97155,0.00025,0.28125,0.02654,0.0217,0.84186,9.5356,0.92268,0.000462973,0.000462973,0.000462973
18,48.2117,0.69527,7.85718,0.94431,0.00025,0.28125,0.01836,0.01372,0.83286,9.4544,0.92767,0.000485255,0.000485255,0.000485255
19,49.4262,0.91869,7.82214,0.84635,0.00025,0.28125,0.01848,0.01521,0.88241,9.48609,0.93321,0.000506878,0.000506878,0.000506878
20,50.6373,0.80017,9.61623,0.87625,0.00023,0.25,0.07855,0.05712,0.68817,9.44896,0.90252,0.000527841,0.000527841,0.000527841
21,51.8584,0.77081,8.57952,0.85876,0.00023,0.25,0.03143,0.02262,0.64442,9.51793,0.87977,0.000548143,0.000548143,0.000548143
22,53.0209,1.00535,9.53587,0.93252,0.00023,0.25,0.00285,0.00173,0.81892,9.48855,0.88772,0.000567785,0.000567785,0.000567785
23,54.2463,0.99923,9.17644,0.90522,0.00024,0.25,0.0015,0.00056,0.7473,9.22966,0.88643,0.000586767,0.000586767,0.000586767
24,55.4035,0.87153,10.0644,0.95067,0.00024,0.25,0.00215,0.00045,0.83576,9.28023,0.90503,0.000605089,0.000605089,0.000605089
25,56.6302,0.9846,8.18294,0.93899,0.00015,0.15625,0.00034,5e-05,0.9317,9.20413,0.92305,0.000622751,0.000622751,0.000622751
26,57.7942,1.0991,7.34922,1.08028,0.0001,0.09375,0.00026,8e-05,0.89998,9.13364,0.95679,0.000639753,0.000639753,0.000639753
27,59.0033,0.81973,11.864,0.91692,0.0002,0.1875,0.00052,0.00013,0.86583,9.00865,0.93946,0.000656095,0.000656095,0.000656095
28,60.2064,0.82217,6.89004,0.88432,0.00029,0.25,0.0004,0.00015,0.84997,8.80331,0.93445,0.000671776,0.000671776,0.000671776
29,61.4107,0.88436,6.35769,0.9005,0.00026,0.21875,0.00057,0.00025,0.84184,8.45864,0.93751,0.000686797,0.000686797,0.000686797
30,62.6421,1.00135,12.0994,0.96594,0.00027,0.21875,0.00077,0.00048,0.81311,8.25574,0.89042,0.000701159,0.000701159,0.000701159
