epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5487,1.42042,19.0356,1.37373,0.00029,0.21875,0.00123,0.00067,1.17316,12.4742,0.99609,1.667e-05,1.667e-05,1.667e-05
2,36.8282,1.35667,14.5693,1.22998,0.00032,0.28125,0.0008,0.0004,1.18093,12.4833,1.00157,4.95149e-05,4.95149e-05,4.95149e-05
3,38.183,1.47859,17.7732,1.09622,0.00028,0.28125,0.00101,0.00052,1.20466,12.4666,0.96895,8.16997e-05,8.16997e-05,8.16997e-05
4,39.5199,1.74996,26.4,1.29929,0.00026,0.28125,0.00089,0.00036,1.09218,12.2272,0.92431,0.000113224,0.000113224,0.000113224
5,40.8837,1.18242,16.5009,1.11959,0.00022,0.25,0.00046,0.00025,0.75223,11.8602,0.88007,0.000144089,0.000144089,0.000144089
6,42.2334,0.90256,14.9126,1.0281,0.00025,0.28125,0.00191,0.00103,0.64264,11.7069,0.83617,0.000174293,0.000174293,0.000174293
7,43.5905,1.02979,16.454,1.01763,0.00025,0.28125,0.01256,0.00858,0.677,11.7127,0.83457,0.000203837,0.000203837,0.000203837
8,44.9508,0.79935,13.018,0.94751,0.00025,0.28125,0.00514,0.00352,0.66549,11.723,0.82719,0.000232722,0.000232722,0.000232722
9,46.3164,0.80836,14.2235,1.01316,0.00025,0.28125,0.00252,0.00177,0.62553,11.7079,0.84002,0.000260946,0.000260946,0.000260946
10,47.6639,0.66827,15.2341,0.92148,0.00025,0.28125,0.00496,0.00354,0.6533,11.6485,0.83182,0.000288509,0.000288509,0.000288509
11,49.0382,0.57343,15.9226,0.87341,0.00022,0.25,0.00534,0.00324,0.67746,11.6364,0.83069,0.000315413,0.000315413,0.000315413
12,50.4239,0.83309,13.3288,0.86097,0.00025,0.28125,0.01022,0.00374,0.66223,11.6413,0.84238,0.000341657,0.000341657,0.000341657
13,51.7872,0.70274,12.0816,0.86726,0.00022,0.25,0.01403,0.00877,0.66227,11.6171,0.84164,0.00036724,0.00036724,0.00036724
14,53.1632,0.78273,15.2817,0.81124,0.00022,0.25,0.01308,0.01097,0.76065,11.7568,0.86688,0.000392163,0.000392163,0.000392163
15,54.5245,0.80044,14.2546,0.87745,0.00022,0.25,0.01269,0.01045,0.80354,11.7612,0.88036,0.000416427,0.000416427,0.000416427
16,55.8969,0.71606,19.1261,1.02333,0.00022,0.25,0.0132,0.01047,0.84149,11.7641,0.8927,0.00044003,0.00044003,0.00044003
17,57.2582,0.78396,12.8843,0.96943,0.00025,0.28125,0.09015,0.0723,0.73261,11.5473,0.86558,0.000462973,0.000462973,0.000462973
18,58.6428,0.79493,10.1819,0.94104,0.00025,0.28125,0.03315,0.02425,0.69781,11.4682,0.83356,0.000485255,0.000485255,0.000485255
19,60.026,0.83644,9.8091,0.97925,0.00025,0.28125,0.01551,0.01068,0.79499,11.5251,0.84362,0.000506878,0.000506878,0.000506878
20,61.3908,0.72468,12.249,0.89199,0.00028,0.3125,0.0017,0.00087,0.77683,11.5283,0.87205,0.000527841,0.000527841,0.000527841
